"id","name","host_id","host_identity_verified","host_name","neighbourhood_group","neighbourhood","latitude","longitude","instant_bookable","cancellation_policy","room_type","construction_year","price","service_fee","minimum_nights","num_of_reviews","last_review","reviews_per_month","review_rate_number","calculated_host_listings_count","available_days","house_rules","license"
"23695343","Lincoln Center Stunning One Bedroom","17235841748","verified","Alice","Manhattan","Hell's Kitchen","40.76516","-73.99205",True,"moderate","Private room",2010,"608","122",1,0,NULL,NULL,4,1,83,NULL,NULL
"1054357",NULL,"43086080920","verified","Joyce","Brooklyn","Bushwick","40.70093","-73.92609",True,"strict","Entire home/apt",2011,"380","76",NULL,118,"2019-06-18","1.05",NULL,2,92,NULL,NULL
"1152114","Amazing  Sunny & Breezy Home In the Heart of  NYC","93362038010","verified","Mitchell","Manhattan","Little Italy","40.71702","-73.99811",False,"strict","Entire home/apt",2008,"895","179",14,1,"2019-01-02","0.16",2,1,NULL,NULL,NULL
"1286323","Comfort at Crossroads of Downtown","82992556236","verified","Kevin","Manhattan","Chelsea","40.73862","-73.99758",NULL,NULL,"Entire home/apt",2018,NULL,"83",1,2,"2015-08-28","0.02",2,1,256,"We expect our guests to be honest, to treat our property with respect, and to leave the apartment as clean (relatively) as when they arrived.",NULL
"35597960","Modern Studio in Brooklyn","70400967048","verified","Valentina","Brooklyn","Gravesend","40.58583","-73.96903",False,"moderate","Entire home/apt",2006,"164","33",1,68,"2021-11-05","0.96",5,1,123,NULL,NULL
"1674037","Cozy and quiet with secret garden","86100545045","verified","Federico","Manhattan","Harlem","40.82823","-73.94691",False,"strict","Entire home/apt",2020,"1078","216",4,266,"2019-07-04","3.17",5,1,76,"No smoking in condo or hallways of building.  No parties.  Well-behaved pets OK.  Quiet and respectful of our neighbors.",NULL
"1143277","D Private Che@p Room 2 Explore NYC","60931330665","verified","Lloyd","Staten Island","Tompkinsville","40.63481","-74.08519",False,"moderate","Private room",2010,"1032","206",2,333,"2019-07-02","3.19",5,6,NULL,"No loud noise.  Calm pets ok.  Friendly welcome!",NULL
"1230541","Truly Amazing Oasis In The City","65344662582","unverified","Heather","Brooklyn","Williamsburg","40.71363","-73.96019",True,"strict","Entire home/apt",2022,"852","170",3,150,"2019-07-05","1.55",3,1,NULL,NULL,NULL
"1297921","Loft Style Apt in Williamsburg","50673259142","verified","Robert","Brooklyn","Williamsburg","40.70275","-73.94501",False,"moderate","Private room",2003,"253","51",1,46,"2018-12-30","0.97",5,1,30,"Simply put, just be a good neighbor & guest! No parties or boisterous noise at late hours & please leave the apartment as you found it.",NULL
"1300683","Large room in elevator drman bldg","70579548744","verified","Brianna","Manhattan","Harlem","40.83127","-73.94718",False,"strict","Private room",NULL,"175","35",2,295,"2019-06-12","3.9",4,2,70,"Please behave no parties or drug use",NULL
"1371377","Loft Suite @ The Box House Hotel","75427375884","verified","Gray","Brooklyn",NULL,"40.73641","-73.9533",False,"strict","Entire home/apt",2006,"104","21",3,24,"2018-11-06","0.32",4,28,419,NULL,NULL
"1765719","Cozy Comfortable Friendly & Cheap!","37474455930","unverified","Miriam","Queens","Cambria Heights","40.6916","-73.73323",True,"strict","Private room",2013,"806","161",3,0,NULL,NULL,1,2,47,NULL,NULL
"1403410","Bright unique designer loft in Soho","39384846334","verified","Higgins","Manhattan","Nolita","40.72313","-73.99438",True,"moderate","Entire home/apt",2008,"158","32",5,5,"2018-07-05","0.09",5,1,73,"I own a dog, but she will not be present for your stay.",NULL
"1427159","The Carlton, Brooklyn brownstone Duplex w/ garden","78412806115","verified","Higgins","Brooklyn","Prospect Heights","40.67847","-73.97038",True,"moderate","Entire home/apt",2014,"1122","224",3,89,"2019-06-23","0.97",1,1,106,NULL,NULL
"13619734","Private Room in Sunny Beautiful Kosher Apartment","26655567317","unverified","Esther","Brooklyn","East Flatbush","40.66182","-73.93748",True,"strict","Private room",2003,"126","25",2,21,"2019-05-19","0.83",5,3,31,NULL,NULL
"1474105","Furnished Bedroom with private half bath","67288825352","verified","Baker","Manhattan","Harlem","40.80637","-73.95433",False,"strict","Private room",2009,"867","173",2,44,"2019-06-26","0.49",NULL,1,195,"We live on a quiet street with many friendly homeowners, please be courteous of neighbors.  Our welcome binder includes helpful information.",NULL
"1494540","Chelsea/Meat Packing  Artist Space!","62499830130","verified","Craig","Manhattan","West Village","40.73887","-74.00342",False,"strict","Private room",2016,"1145","229",2,78,"2019-02-08","1.22",4,1,57,"Please note that there is no smoking or any type of drugs in the apartment and please be respectful of other apartment mates. You are welcome to use the kitchen appliances as long as you clean up after yourself!",NULL
"1495092","Elegant Spacious Family Townhouse","84885348799","verified","Owens","Manhattan","Upper West Side","40.77892","-73.98238",True,"moderate","Entire home/apt",2003,"835","167",30,64,"2018-08-03","0.72",1,1,125,"Shoes off apartment (slippers available to guests)  No smoking of any substance on the property  No parties Respectful  Friendly  Quiet  Leave things as they were found upon check-out",NULL
"1497854","Cozy Upper East Side Studio","96569825556","verified","Ross","Manhattan","Upper East Side","40.77471","-73.95574",True,"moderate","Entire home/apt",2008,"1167","233",2,32,"2019-06-23","0.47",4,1,194,NULL,NULL
"1834204","NEAR THE CITY THAT NEVER SLEEPS!","81624942367","verified","Maria","Staten Island","Mariners Harbor","40.62879","-74.16062",False,"strict","Private room",2009,"130","26",2,48,"2019-06-11","0.59",1,1,164,"- Check-in is after 12PM (noon) - No smoking! If I smell smoke or if there is other evidence of smoking, you will forfeit your entire security deposit. - The fireplace is (URL HIDDEN) do not use it as it will cause significant damage. If you do, you will forfeit your entire security deposit. - Check in and check out time can be flexible depending upon the dates you are looking for and whether anyone else is staying. Unless we arrange otherwise, check in and check out is at noon. - The cleaning fee covers two hours. If additional cleaning is required, you will be charged $50/hour, deducted from your deposit. - Out of respect for my neighbors, I must insist upon no parties being held at my place. If my neighbor complains about a party happening, or if there is a big mess left at the place, you will forfeit your entire deposit. - You agree to follow all of the rules of the building, including trash and roof deck rules. Any issues with not following the building rules and you forfeit your ",NULL
"1583460","Big Beautiful Brooklyn Apt @ Park!","33825657465","verified","Marc","Brooklyn","Prospect-Lefferts Gardens","40.65814","-73.96181",True,"strict","Entire home/apt",2012,"612","122",3,87,"2019-06-16","1",4,1,406,"We kindly ask that you clean up after yourselves, especially in the kitchen. We will have someone clean the linens, the bathroom, and floors after your stay.",NULL
"1585669","Lovely Chelsea 1 Bedroom","12874673062","verified","Rachel","Manhattan","Chelsea","40.74572","-73.99965",True,"moderate","Entire home/apt",2007,"550","110",9,10,"2018-08-22","0.11",4,1,361,"No Smoking No Pets",NULL
"1681217","Beautiful sunny Nolita/Soho Apt","59976013117","verified","Robert","Manhattan","Nolita","40.72246","-73.99552",True,"strict","Entire home/apt",2018,"585","117",5,5,"2015-06-28","0.06",2,1,217,"Be kind, courteous, just as how you would want to be treated. No overnight guests or loud noises at night as it is a building full of young professionals.",NULL
"2013702","Newly Reno Room with Private Bath^","58187532692","verified","Celeste","Queens","Flushing","40.75979","-73.81016",False,"moderate","Private room",2004,"833","167",2,17,"2019-06-22","0.21",5,4,303,NULL,NULL
"1796648","Gorgeous Modern Manhattan Apt","1326373287","verified","Gal","Manhattan","Midtown","40.74648","-73.98459",False,"moderate","Private room",2011,"477","95",3,41,"2015-09-25","0.52",5,1,294,NULL,NULL
"1803276","Spacious, rare, elegant, art-filled loft w sauna","57939546477","verified","Lisa","Manhattan","SoHo","40.72381","-73.99684",False,"flexible","Entire home/apt",2022,"492","98",5,59,"2019-06-27","0.77",1,1,233,"NO Smoking.  No Pets.",NULL
"1828129","Sunrise Room in Spacious Duplex","2087516165","verified","Natalie","Brooklyn","Canarsie","40.62764","-73.90086",True,"flexible","Private room",2006,"173","35",2,70,"2018-10-10","0.85",2,3,179,"Of course I want you to have a great time, but please no partying at the apartment. Guests must be respectful of other building tenants. The home is meant for you to have a comfortable place to relax, sleep, use the amenities, and just have a great central location to come home to.",NULL
